project_code,report_year,report_month_num,agency_frequency,state_frequency,original_cost_cr,cumulative_expenditure_cr,physical_progress_pct,approval_to_start_days,planned_duration_days,time_overrun_days,time_overrun_months,time_overrun_flag
220100314,2025,6,0.0006605310669778,0.0073539125456867,3032.0,3513.09,69.0,304.0,912.0,182.0,5.979466119096509,1
220100328,2025,4,0.0021136994143291,0.0101721784314588,1928.1,1686.57,40.0,304.0,912.0,365.0,11.991786447638605,1
220100328,2025,5,0.0021136994143291,0.0101721784314588,1928.1,1726.15,40.0,304.0,912.0,365.0,11.991786447638605,1
220100328,2025,6,0.0021136994143291,0.0101721784314588,1928.1,1757.75,40.0,304.0,912.0,365.0,11.991786447638605,1
400005,2025,7,0.0322779514729842,0.0012329913250253,4546.26,4148.46,93.0,304.0,912.0,914.0,30.028747433264886,1
400005,2025,8,0.0322779514729842,0.0012329913250253,4546.26,4172.96,93.0,181.0,335.0,914.0,30.028747433264886,1
400005,2025,10,0.0322779514729842,0.0012329913250253,4546.26,4210.3,93.0,181.0,335.0,914.0,30.028747433264886,1
400005,2025,11,0.0322779514729842,0.0012329913250253,4546.26,4318.95,94.0,181.0,335.0,914.0,30.028747433264886,1
400005,2025,12,0.0322779514729842,0.0012329913250253,4546.26,4358.49,95.0,181.0,335.0,1004.0,32.98562628336756,1
400005,2026,1,0.0322779514729842,0.0012329913250253,4546.26,4482.15,96.0,181.0,335.0,1065.0,34.98973305954826,1
400005,2026,2,0.0322779514729842,0.0012329913250253,4546.26,4500.79,98.0,181.0,335.0,1065.0,34.98973305954826,1
400005,2026,3,0.0322779514729842,0.0012329913250253,4546.26,4523.49,99.65,181.0,335.0,1065.0,34.98973305954826,1
400005,2026,4,0.0322779514729842,0.0012329913250253,4546.26,4528.07,99.9,181.0,335.0,1065.0,34.98973305954826,1
400006,2025,12,0.0019375577964683,0.037782377031133,808.99,505.01,31.0,0.0,1461.0,61.0,2.004106776180698,1
400006,2026,1,0.0019375577964683,0.037782377031133,808.99,542.88,32.0,0.0,1461.0,426.0,13.9958932238193,1
400006,2026,2,0.0019375577964683,0.037782377031133,808.99,565.72,34.0,0.0,1461.0,426.0,13.9958932238193,1
400006,2026,3,0.0019375577964683,0.037782377031133,808.99,596.45,36.0,0.0,1461.0,426.0,13.9958932238193,1
400006,2026,4,0.0019375577964683,0.037782377031133,808.99,701.15,38.0,0.0,1461.0,426.0,13.9958932238193,1
400006,2026,5,0.0019375577964683,0.037782377031133,808.99,743.46,40.0,0.0,1461.0,426.0,13.9958932238193,1
400006,2026,6,0.0019375577964683,0.037782377031133,808.99,743.46,40.0,0.0,1461.0,426.0,13.9958932238193,1
400006,2026,7,0.0019375577964683,0.037782377031133,808.99,743.46,44.0,0.0,1461.0,426.0,13.9958932238193,1
400010,2025,7,0.0129464089127658,0.0016733453696772,480.0,427.04,67.0,304.0,912.0,1491.0,48.98562628336756,1
400010,2025,8,0.0129464089127658,0.0016733453696772,480.0,434.79,71.0,62.0,1096.0,1491.0,48.98562628336756,1
400010,2025,10,0.0129464089127658,0.0016733453696772,480.0,471.59,77.0,62.0,1096.0,1491.0,48.98562628336756,1
400010,2025,11,0.0129464089127658,0.0016733453696772,480.0,483.12,78.0,62.0,1096.0,1764.0,57.95482546201232,1
400010,2025,12,0.0129464089127658,0.0016733453696772,480.0,484.6,78.0,62.0,1096.0,1764.0,57.95482546201232,1
400010,2026,1,0.0129464089127658,0.0016733453696772,480.0,492.21,78.0,62.0,1096.0,1764.0,57.95482546201232,1
400010,2026,2,0.0129464089127658,0.0016733453696772,480.0,492.25,78.0,62.0,1096.0,1764.0,57.95482546201232,1
400010,2026,3,0.0129464089127658,0.0016733453696772,480.0,501.81,78.7,62.0,1096.0,1764.0,57.95482546201232,1
400010,2026,4,0.0129464089127658,0.0016733453696772,480.0,501.81,78.9,62.0,1096.0,1764.0,57.95482546201232,1
400010,2026,5,0.0129464089127658,0.0016733453696772,480.0,506.13,79.2,62.0,1096.0,1764.0,57.95482546201232,1
400010,2026,6,0.0129464089127658,0.0016733453696772,480.0,509.41,83.4,62.0,1096.0,1764.0,57.95482546201232,1
400010,2026,7,0.0129464089127658,0.0016733453696772,480.0,512.55,88.0,62.0,1096.0,1764.0,57.95482546201232,1
400012,2025,7,0.0203443568629177,0.000484389449117,10088.0,7598.13,92.0,304.0,912.0,1461.0,48.0,1
400012,2025,8,0.0203443568629177,0.000484389449117,10088.0,7672.23,92.0,304.0,1096.0,1461.0,48.0,1
400012,2025,10,0.0203443568629177,0.000484389449117,10088.0,8059.53,93.0,0.0,1096.0,1461.0,48.0,1
400012,2025,11,0.0203443568629177,0.000484389449117,10088.0,8135.69,93.0,0.0,1096.0,1461.0,48.0,1
400012,2025,12,0.0203443568629177,0.000484389449117,10088.0,8217.69,94.0,0.0,1096.0,1551.0,50.95687885010267,1
400012,2026,1,0.0203443568629177,0.000484389449117,10088.0,8056.6,94.0,0.0,1096.0,1551.0,50.95687885010267,1
400012,2026,2,0.0203443568629177,0.000484389449117,10088.0,8130.19,94.0,0.0,1096.0,1551.0,50.95687885010267,1
400012,2026,3,0.0203443568629177,0.000484389449117,10088.0,8213.84,94.9,0.0,1096.0,1643.0,53.97946611909651,1
400012,2026,4,0.0203443568629177,0.000484389449117,10088.0,8529.58,95.2,0.0,1096.0,1643.0,53.97946611909651,1
400012,2026,5,0.0203443568629177,0.000484389449117,10088.0,8585.71,95.4,0.0,1096.0,1643.0,53.97946611909651,1
400012,2026,6,0.0203443568629177,0.000484389449117,10088.0,8672.35,95.7,0.0,1096.0,1643.0,53.97946611909651,1
400012,2026,7,0.0031705491214936,0.0522700251001805,10088.0,8504.21,96.0,0.0,1096.0,1765.0,57.987679671457904,1
400013,2025,7,0.0040952926152626,0.0040072218063322,26316.0,9291.8,72.0,304.0,912.0,638.0,20.960985626283367,1
400013,2025,8,0.0040952926152626,0.0040072218063322,26316.0,9791.8,73.0,0.0,701.0,638.0,20.960985626283367,1
400013,2025,10,0.0040952926152626,0.0040072218063322,26316.0,9791.8,76.0,0.0,701.0,638.0,20.960985626283367,1
400013,2025,11,0.0040952926152626,0.0040072218063322,26316.0,9791.8,78.0,0.0,701.0,638.0,20.960985626283367,1
400013,2025,12,0.0040952926152626,0.0040072218063322,26316.0,9791.8,80.0,0.0,701.0,638.0,20.960985626283367,1
400013,2026,1,0.0040952926152626,0.0040072218063322,26316.0,9791.8,82.0,0.0,701.0,638.0,20.960985626283367,1
400013,2026,2,0.0040952926152626,0.0040072218063322,26316.0,9791.8,83.0,0.0,701.0,638.0,20.960985626283367,1
400013,2026,3,0.0040952926152626,0.0040072218063322,26316.0,9791.8,83.7,0.0,701.0,638.0,20.960985626283367,1
400013,2026,4,0.0040952926152626,0.0040072218063322,26316.0,9791.8,84.0,0.0,701.0,638.0,20.960985626283367,1
400013,2026,5,0.0040952926152626,0.0040072218063322,26316.0,9791.8,85.0,0.0,701.0,1003.0,32.95277207392197,1
400013,2026,6,0.0040952926152626,0.0040072218063322,26316.0,8553.1,85.0,0.0,701.0,1003.0,32.95277207392197,1
400013,2026,7,0.0040952926152626,0.0040072218063322,26316.0,8722.82,87.7,0.0,701.0,1003.0,32.95277207392197,1
400019,2025,7,0.0022458056277246,0.075564754062266,493.0,234.48,9.0,304.0,912.0,274.0,9.00205338809035,1
400019,2025,8,0.0022458056277246,0.075564754062266,492.76,245.11,16.0,1551.0,1340.0,274.0,9.00205338809035,1
400019,2025,10,0.0022458056277246,0.075564754062266,492.76,276.86,16.0,1551.0,1340.0,274.0,9.00205338809035,1
