project_code,report_year,report_month_num,agency_frequency,state_frequency,original_cost_cr,cumulative_expenditure_cr,physical_progress_pct,expenditure_to_original_cost_pct,expenditure_per_progress_pct_cr,remaining_original_cost_cr,approval_to_start_days,planned_duration_days,elapsed_duration_days,remaining_planned_days,elapsed_duration_pct,progress_per_elapsed_month,schedule_progress_gap_pct,report_year_missing,report_month_num_missing,agency_frequency_missing,state_frequency_missing,original_cost_cr_missing,cumulative_expenditure_cr_missing,physical_progress_pct_missing,expenditure_to_original_cost_pct_missing,expenditure_per_progress_pct_cr_missing,remaining_original_cost_cr_missing,approval_to_start_days_missing,planned_duration_days_missing,elapsed_duration_days_missing,remaining_planned_days_missing,elapsed_duration_pct_missing,progress_per_elapsed_month_missing,schedule_progress_gap_pct_missing,time_overrun_days,time_overrun_months,time_overrun_flag,progress_delta_recent,expenditure_delta_recent,recent_spend_efficiency_cr_pct
220100181,2025,6,0.0022458056277246,0.022502091681712,2539.0,4909.3,97.0,193.3556518314297,1.993357235375564,-2370.3,304.0,912.0,1218.0,-150.0,111.7510630073444,1.2412815626488802,-50.64736645498692,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.0,0.0,0,0.0,50.68000000000029,1.993357235375564
220100188,2025,4,0.001409132942886,0.0066053106697785,2018.0,1579.04,75.0,78.24777006937562,1.0433036009250083,438.96,304.0,912.0,1218.0,-150.0,111.7510630073444,1.2412815626488802,-50.64736645498692,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,396.0,13.010266940451745,1,0.0,0.0,1.0433036009250083
220100188,2025,5,0.001409132942886,0.0066053106697785,2018.0,1604.43,75.0,79.505946481665,1.0600792864222002,413.57,304.0,912.0,1218.0,-150.0,111.7510630073444,1.2412815626488802,-50.64736645498692,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,547.0,17.971252566735114,1,0.0,25.3900000000001,1.0600792864222002
220100188,2025,6,0.001409132942886,0.0066053106697785,2018.0,1629.74,75.0,80.7601585728444,1.076802114304592,388.26,304.0,912.0,1218.0,-150.0,111.7510630073444,1.2412815626488802,-50.64736645498692,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,547.0,17.971252566735114,1,0.0,25.309999999999945,1.076802114304592
220100232,2025,4,0.0006605310669778,0.0066053106697785,8913.94,2520.04,43.0,28.27077588585968,0.657459904322318,6393.900000000001,304.0,912.0,1218.0,-150.0,111.7510630073444,1.2412815626488802,-50.64736645498692,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.0,0.0,0,0.0,0.0,0.657459904322318
220100232,2025,5,0.0006605310669778,0.0066053106697785,8913.94,2500.34,43.0,28.04977372519896,0.6523203191906735,6413.6,304.0,912.0,1218.0,-150.0,111.7510630073444,1.2412815626488802,-50.64736645498692,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.0,0.0,0,0.0,0.0,0.6523203191906735
220100232,2025,6,0.0006605310669778,0.0066053106697785,8913.94,2500.34,43.0,28.04977372519896,0.6523203191906735,6413.6,304.0,912.0,1218.0,-150.0,111.7510630073444,1.2412815626488802,-50.64736645498692,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.0,0.0,0,0.0,0.0,0.6523203191906735
220100257,2025,4,0.0026421242679114,0.0119335946100664,614.45,474.57,52.0,77.23492554316867,1.4852870296763203,139.88000000000005,304.0,912.0,1218.0,-150.0,111.7510630073444,1.2412815626488802,-50.64736645498692,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,820.0,26.94045174537988,1,0.0,0.0,1.4852870296763203
220100257,2025,5,0.0026421242679114,0.0119335946100664,614.45,483.35,52.0,78.6638457156807,1.5127662637630903,131.10000000000002,304.0,912.0,1218.0,-150.0,111.7510630073444,1.2412815626488802,-50.64736645498692,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,820.0,26.94045174537988,1,0.0,8.78000000000003,1.5127662637630903
220100257,2025,6,0.0026421242679114,0.0119335946100664,614.45,483.57,52.0,78.69965009357962,1.5134548094919158,130.88000000000005,304.0,912.0,1218.0,-150.0,111.7510630073444,1.2412815626488802,-50.64736645498692,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,820.0,26.94045174537988,1,0.0,0.21999999999997044,1.5134548094919158
220100265,2025,4,0.0011889559205601,0.0132986921484873,2500.98,1141.44,18.0,45.63970923398028,2.5355394018877933,1359.54,304.0,912.0,1218.0,-150.0,111.7510630073444,1.2412815626488802,-50.64736645498692,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.0,0.0,0,0.0,0.0,2.5355394018877933
220100265,2025,5,0.0011889559205601,0.0132986921484873,2500.98,1141.44,18.0,45.63970923398028,2.5355394018877933,1359.54,304.0,912.0,1218.0,-150.0,111.7510630073444,1.2412815626488802,-50.64736645498692,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.0,0.0,0,0.0,0.0,2.5355394018877933
220100265,2025,6,0.0011889559205601,0.0132986921484873,2500.98,1141.44,18.0,45.63970923398028,2.5355394018877933,1359.54,304.0,912.0,1218.0,-150.0,111.7510630073444,1.2412815626488802,-50.64736645498692,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.0,0.0,0,0.0,0.0,2.5355394018877933
220100272,2025,4,0.0007486018759082,0.0074860187590823,1188.91,1247.41,75.0,104.92047337477184,1.398939644996958,-58.5,304.0,912.0,1218.0,-150.0,111.7510630073444,1.2412815626488802,-50.64736645498692,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2529.0,83.08829568788501,1,0.0,0.0,1.398939644996958
220100272,2025,5,0.0007486018759082,0.0074860187590823,1188.91,1264.53,75.0,106.36044780513242,1.4181393040684322,-75.61999999999989,304.0,912.0,1218.0,-150.0,111.7510630073444,1.2412815626488802,-50.64736645498692,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2529.0,83.08829568788501,1,0.0,17.11999999999989,1.4181393040684322
220100272,2025,6,0.0007486018759082,0.0074860187590823,1188.91,1283.98,75.0,107.9964000639241,1.4399520008523212,-95.06999999999994,304.0,912.0,1218.0,-150.0,111.7510630073444,1.2412815626488802,-50.64736645498692,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2529.0,83.08829568788501,1,0.0,19.450000000000045,1.4399520008523212
220100284,2025,4,0.0021136994143291,0.0101721784314588,3550.0,4690.64,84.0,132.1307042253521,1.5729845741113346,-1140.6400000000003,304.0,912.0,1218.0,-150.0,111.7510630073444,1.2412815626488802,-50.64736645498692,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.0,0.0,0,0.0,0.0,1.5729845741113346
220100284,2025,5,0.0021136994143291,0.0101721784314588,3550.0,4840.22,85.0,136.3442253521127,1.6040497100248552,-1290.2200000000005,304.0,912.0,1218.0,-150.0,111.7510630073444,1.2412815626488802,-50.64736645498692,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.0,0.0,0,1.0,149.57999999999993,100.0
