target,feature_type,model_type,features_count,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,train_f1,model_path
schedule_delay,cuf,logistic_regression,10,0.9986595174262735,0.9953239812959251,0.9969889595182335,0.9934362467825297,0.997535128304248,0.9979939819458375,0.969785575048733,0.9836875926841325,0.984480663249344,0.9966899061158951,0.9843188030499209,models\schedule_delay_cuf_logistic_regression.pkl
schedule_delay,cuf,random_forest,10,0.9986595174262735,0.9953239812959251,0.9969889595182335,0.9934921036612474,0.9978546965135259,0.9979939819458375,0.969785575048733,0.9836875926841325,0.9903927915353083,0.9978092339075764,0.9846109592981447,models\schedule_delay_cuf_random_forest.pkl
schedule_delay,cuf,xgboost,10,0.9986595174262735,0.9953239812959251,0.9969889595182335,0.9933940691394164,0.9976625624046502,0.9979939819458375,0.969785575048733,0.9836875926841325,0.9888921979159147,0.9975815906614504,0.9851862505393355,models\schedule_delay_cuf_xgboost.pkl
schedule_delay,enhanced,logistic_regression,48,0.9946488294314382,0.9933199732798931,0.9939839572192514,0.9947585728909468,0.9984991269163066,0.9974962443665498,0.9707602339181286,0.98394665349469,0.9888957074900326,0.9974936369798613,0.9844604316546762,models\schedule_delay_enhanced_logistic_regression.pkl
schedule_delay,enhanced,random_forest,48,0.9986595174262735,0.9953239812959251,0.9969889595182335,0.9934499260181341,0.9967398579864726,0.9979939819458375,0.969785575048733,0.9836875926841325,0.9916351807731494,0.9980719233681854,0.9843188030499209,models\schedule_delay_enhanced_random_forest.pkl
schedule_delay,enhanced,xgboost,48,0.9986595174262735,0.9953239812959251,0.9969889595182335,0.992716946977003,0.9954533416496578,0.9979939819458375,0.969785575048733,0.9836875926841325,0.9902599290865481,0.9978237530753987,0.9850316637881404,models\schedule_delay_enhanced_xgboost.pkl
cost_overrun,cuf,logistic_regression,10,0.4901185770750988,0.9501915708812261,0.6466753585397653,0.9654959418045501,0.8732235016377404,0.4727272727272727,0.9154929577464789,0.6235011990407674,0.9628750765462339,0.856503236534181,0.6823008849557523,models\cost_overrun_cuf_logistic_regression.pkl
cost_overrun,cuf,random_forest,10,0.6375661375661376,0.9233716475095786,0.7543035993740219,0.9800184930425566,0.946268105302578,0.5910224438902744,0.8345070422535211,0.691970802919708,0.9616565854755864,0.8764386215495599,0.7657657657657657,models\cost_overrun_cuf_random_forest.pkl
cost_overrun,cuf,xgboost,10,0.9114391143911439,0.946360153256705,0.9285714285714286,0.9874908850349188,0.9640862537016184,0.8897058823529411,0.852112676056338,0.8705035971223022,0.982152230151093,0.9341777052044318,0.9422222222222222,models\cost_overrun_cuf_xgboost.pkl
cost_overrun,enhanced,logistic_regression,48,0.8044871794871795,0.9616858237547893,0.8760907504363001,0.9818477506396137,0.9720172311626217,0.8068535825545171,0.9119718309859155,0.856198347107438,0.9828802004574028,0.9497807460817559,0.8578784757981462,models\cost_overrun_enhanced_logistic_regression.pkl
cost_overrun,enhanced,random_forest,48,0.9662921348314607,0.9885057471264368,0.9772727272727273,0.9979539879068532,0.9940558053249446,0.9781021897810219,0.9436619718309859,0.9605734767025089,0.9852109551720258,0.9682939272175435,0.9780600461893765,models\cost_overrun_enhanced_random_forest.pkl
cost_overrun,enhanced,xgboost,48,0.9626865671641791,0.9885057471264368,0.9754253308128544,0.9946112075856557,0.9888250193907262,0.988929889298893,0.9436619718309859,0.9657657657657658,0.9874589149805666,0.9733259328018725,0.9878260869565217,models\cost_overrun_enhanced_xgboost.pkl
