target,feature_type,model_type,features_count,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,train_f1,model_path,generalization_gap_f1,diagnostic
schedule_delay,cuf,logistic_regression,10,0.9986595174262736,0.9953239812959253,0.9969889595182336,0.9934362467825296,0.997535128304248,0.9979939819458375,0.969785575048733,0.9836875926841324,0.984480663249344,0.9966899061158953,0.9843188030499208,models\schedule_delay_cuf_logistic_regression.pkl,0.0006312103657883927,Well-Regularized
schedule_delay,cuf,random_forest,10,0.9986595174262736,0.9953239812959253,0.9969889595182336,0.9934921036612474,0.997854696513526,0.9979939819458375,0.969785575048733,0.9836875926841324,0.9903927915353083,0.9978092339075764,0.9846109592981448,models\schedule_delay_cuf_random_forest.pkl,0.0009233666140123775,Well-Regularized
schedule_delay,cuf,xgboost,10,0.9986595174262736,0.9953239812959253,0.9969889595182336,0.9933940691394164,0.9976625624046502,0.9979939819458375,0.969785575048733,0.9836875926841324,0.9888921979159148,0.9975815906614504,0.9851862505393356,models\schedule_delay_cuf_xgboost.pkl,0.0014986578552032004,Well-Regularized
schedule_delay,enhanced,logistic_regression,48,0.9946488294314382,0.9933199732798932,0.9939839572192514,0.9947585728909468,0.9984991269163066,0.9974962443665498,0.9707602339181286,0.98394665349469,0.9888957074900326,0.9974936369798612,0.9844604316546762,models\schedule_delay_enhanced_logistic_regression.pkl,0.0005137781599862112,Well-Regularized
schedule_delay,enhanced,random_forest,48,0.9986595174262736,0.9953239812959253,0.9969889595182336,0.993449926018134,0.9967398579864726,0.9979939819458375,0.969785575048733,0.9836875926841324,0.9916351807731494,0.9980719233681854,0.9843188030499208,models\schedule_delay_enhanced_random_forest.pkl,0.0006312103657883927,Well-Regularized
schedule_delay,enhanced,xgboost,48,0.9986595174262736,0.9953239812959253,0.9969889595182336,0.992716946977003,0.9954533416496578,0.9979939819458375,0.969785575048733,0.9836875926841324,0.990259929086548,0.9978237530753988,0.9850316637881404,models\schedule_delay_enhanced_xgboost.pkl,0.0013440711040080267,Well-Regularized
cost_overrun,cuf,logistic_regression,10,0.4901185770750988,0.950191570881226,0.6466753585397653,0.96549594180455,0.8732235016377404,0.4727272727272727,0.9154929577464788,0.6235011990407674,0.962875076546234,0.856503236534181,0.6823008849557523,models\cost_overrun_cuf_logistic_regression.pkl,0.058799685914984856,Well-Regularized
cost_overrun,cuf,random_forest,10,0.6375661375661376,0.9233716475095786,0.7543035993740219,0.9800184930425566,0.946268105302578,0.5910224438902744,0.8345070422535211,0.691970802919708,0.9616565854755864,0.8764386215495599,0.7657657657657657,models\cost_overrun_cuf_random_forest.pkl,0.07379496284605769,Well-Regularized
cost_overrun,cuf,xgboost,10,0.911439114391144,0.946360153256705,0.9285714285714286,0.9874908850349188,0.9640862537016184,0.8897058823529411,0.852112676056338,0.8705035971223022,0.982152230151093,0.9341777052044318,0.9422222222222222,models\cost_overrun_cuf_xgboost.pkl,0.07171862509992,Well-Regularized
cost_overrun,enhanced,logistic_regression,48,0.8044871794871795,0.9616858237547892,0.8760907504363001,0.9818477506396136,0.9720172311626216,0.8068535825545171,0.9119718309859156,0.856198347107438,0.9828802004574028,0.949780746081756,0.8578784757981462,models\cost_overrun_enhanced_logistic_regression.pkl,0.0016801286907082158,Well-Regularized
cost_overrun,enhanced,random_forest,48,0.9662921348314608,0.9885057471264368,0.9772727272727272,0.9979539879068532,0.9940558053249446,0.978102189781022,0.943661971830986,0.9605734767025088,0.9852109551720258,0.9682939272175436,0.9780600461893764,models\cost_overrun_enhanced_random_forest.pkl,0.017486569486867554,Well-Regularized
cost_overrun,enhanced,xgboost,48,0.9626865671641792,0.9885057471264368,0.9754253308128544,0.9946112075856556,0.9888250193907262,0.988929889298893,0.943661971830986,0.9657657657657658,0.9874589149805666,0.9733259328018724,0.9878260869565216,models\cost_overrun_enhanced_xgboost.pkl,0.02206032119075585,Well-Regularized
